"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population
World,"159,605,922","10,578","3,317,733",349,"138,246,973","40,263","18,041,216","106,435","20,476",425.6,,,
USA,"33,515,308",,"596,179",,"26,507,427",,"6,411,702","8,777","100,748","1,792","459,420,934","1,381,034","332,664,383"
India,"22,991,927",,"250,025",,"19,021,207",,"3,720,695","8,944","16,522",180,"303,750,077","218,273","1,391,605,161"
Brazil,"15,214,030",,"423,436",,"13,759,125",,"1,031,469","8,318","71,143","1,980","46,834,128","219,002","213,852,486"
France,"5,780,379",,"106,684",,"4,917,101",,"756,594","4,870","88,389","1,631","79,517,576","1,215,915","65,397,303"
Turkey,"5,044,936",,"43,311",,"4,743,871",,"257,754","2,983","59,272",509,"49,604,004","582,789","85,114,793"
Russia,"4,888,727",,"113,647",,"4,502,906",,"272,174","2,300","33,487",778,"131,400,000","900,073","145,988,122"
UK,"4,437,217",,"127,609",,"4,250,699",,"58,909",159,"65,070","1,871","165,821,683","2,431,711","68,191,369"
Italy,"4,116,287",,"123,031",,"3,619,586",,"373,670","2,158","68,167","2,037","61,227,024","1,013,935","60,385,546"
Spain,"3,581,392",,"78,895",,"3,274,808",,"227,689","2,134","76,574","1,687","47,213,067","1,009,467","46,770,308"
Germany,"3,535,354",,"85,481",,"3,196,900","21,300","252,973","5,049","42,081","1,017","56,836,969","676,522","84,013,487"
Argentina,"3,165,121",,"67,821",,"2,837,058",,"260,242","5,357","69,486","1,489","11,891,364","261,059","45,550,456"
Colombia,"3,015,301",,"78,342",,"2,835,554",,"101,405","6,006","58,725","1,526","15,477,840","301,439","51,346,483"
Poland,"2,835,083",,"70,034",,"2,576,034",,"189,015","2,083","74,980","1,852","14,794,397","391,272","37,811,050"
Iran,"2,673,219",,"75,261",,"2,127,192",,"470,766","5,533","31,483",886,"17,206,735","202,644","84,911,245"
Mexico,"2,366,496",704,"219,089",104,"1,888,638","2,405","258,769","4,798","18,191","1,684","6,761,179","51,973","130,090,737"
Ukraine,"2,122,327",,"46,512",,"1,768,753",,"307,062",177,"48,780","1,069","9,655,779","221,931","43,508,054"
Peru,"1,853,370",,"64,373",,"1,720,665",,"68,332","2,680","55,550","1,929","11,705,258","350,835","33,364,023"
Indonesia,"1,718,575",,"47,218",,"1,574,615",,"96,742",,"6,227",171,"15,272,213","55,335","275,996,044"
Czechia,"1,645,448",,"29,711",,"1,580,939",,"34,798",363,"153,407","2,770","19,988,974","1,863,598","10,726,011"
South Africa,"1,597,724",,"54,825",,"1,517,350",,"25,549",546,"26,652",915,"10,906,020","181,926","59,947,455"
Netherlands,"1,565,880",,"17,340",,"1,325,107",,"223,433",758,"91,213","1,010","13,171,698","767,252","17,167,367"
Canada,"1,294,186",,"24,682",,"1,189,678",,"79,826","1,331","34,035",649,"32,746,783","861,186","38,025,198"
Chile,"1,252,808",,"27,318",,"1,188,831",,"36,659","3,137","65,059","1,419","13,623,503","707,473","19,256,563"
Iraq,"1,117,627",,"15,800",,"1,011,606",,"90,221",543,"27,265",385,"9,707,527","236,822","40,990,787"
Philippines,"1,108,826",,"18,562",,"1,030,367",,"59,897",750,"10,005",167,"12,330,600","111,260","110,826,667"
Romania,"1,066,731",,"29,034",,"1,015,092",,"22,605",962,"55,770","1,518","8,488,189","443,771","19,127,428"
Belgium,"1,017,876","1,267","24,583",32,"888,546",,"104,747",702,"87,500","2,113","13,011,431","1,118,510","11,632,825"
Sweden,"1,007,792",,"14,173",,"856,439","5,628","137,180",381,"99,259","1,396","8,798,383","866,565","10,153,172"
Pakistan,"864,557","3,084","19,106",113,"766,492","4,387","78,959","4,859","3,850",85,"12,267,310","54,631","224,547,359"
Portugal,"839,740",,"16,993",,"800,645",,"22,102",73,"82,561","1,671","10,931,531","1,074,754","10,171,190"
Israel,"838,957",,"6,378",,"831,620",,959,78,"91,215",693,"14,358,336","1,561,098","9,197,590"
Hungary,"792,386",,"28,693",,"575,610",,"188,083",394,"82,204","2,977","5,538,792","574,605","9,639,299"
Bangladesh,"775,027",,"11,972",,"712,277",,"50,778","1,097","4,666",72,"5,647,742","34,004","166,092,224"
Jordan,"720,998",,"9,125",,"705,392",,"6,481",729,"70,070",887,"6,857,925","666,482","10,289,738"
Serbia,"701,326",,"6,576",,"664,243",,"30,507",127,"80,546",755,"3,939,470","452,441","8,707,154"
Switzerland,"674,296",,"10,715",,"606,910",,"56,671",201,"77,427","1,230","7,154,659","821,545","8,708,783"
Japan,"640,044",,"10,876",,"559,553",,"69,615","1,152","5,074",86,"12,469,553","98,852","126,144,121"
Austria,"631,896",,"10,392",,"605,441",,"16,063",386,"69,820","1,148","34,639,633","3,827,417","9,050,395"
UAE,"537,524",,"1,615",,"517,805",,"18,104",,"53,793",162,"46,013,175","4,604,772","9,992,499"
Lebanon,"533,141",,"7,507",,"487,126",,"38,508",429,"78,412","1,104","4,119,202","605,836","6,799,199"
Morocco,"513,922",,"9,077",,"501,146",,"3,699",112,"13,784",243,"6,340,643","170,062","37,284,378"
Malaysia,"444,484",,"1,700",,"405,388",,"37,396",434,"13,584",52,"10,055,506","307,318","32,720,210"
Saudi Arabia,"427,370",,"7,085",,"410,816",,"9,469","1,341","12,115",201,"17,598,087","498,861","35,276,532"
Bulgaria,"411,280",,"17,045",,"351,397",,"42,838",555,"59,576","2,469","2,606,975","377,631","6,903,494"
Nepal,"403,794",,"3,859",,"306,794",,"93,141",,"13,649",130,"2,652,130","89,649","29,583,618"
Ecuador,"402,060",,"19,242",,"342,878",,"39,940",620,"22,497","1,077","1,341,409","75,058","17,871,702"
Slovakia,"385,786",,"12,051",,"367,959",,"5,776",245,"70,632","2,206","2,726,117","499,114","5,461,910"
Belarus,"369,767",,"2,642",,"360,255",,"6,870",,"39,143",280,"6,007,012","635,888","9,446,657"
Panama,"367,908",,"6,277",,"357,353",,"4,278",105,"84,137","1,435","2,468,735","564,576","4,372,724"
Greece,"363,904",,"11,089",,"323,458",,"29,357",732,"35,060","1,068","8,496,685","818,616","10,379,331"
Kazakhstan,"346,497","1,766","3,948",20,"301,857","2,329","40,692",221,"18,267",208,"10,535,853","555,436","18,968,606"
Croatia,"344,747",,"7,503",,"328,993",,"8,251",229,"84,424","1,837","1,881,294","460,704","4,083,518"
